

==> Preparing data..
Files already downloaded and verified
83 Loss: 1.533 | Acc: 47.950
84 Loss: 1.528 | Acc: 48.010
85 Loss: 1.525 | Acc: 48.180
86 Loss: 1.522 | Acc: 48.150
87 Loss: 1.516 | Acc: 48.640
88 Loss: 1.511 | Acc: 48.840
89 Loss: 1.508 | Acc: 48.790
90 Loss: 1.503 | Acc: 48.980
91 Loss: 1.498 | Acc: 49.330
92 Loss: 1.496 | Acc: 49.510
93 Loss: 1.492 | Acc: 49.520
94 Loss: 1.487 | Acc: 49.630
95 Loss: 1.484 | Acc: 50.050
96 Loss: 1.480 | Acc: 49.720
97 Loss: 1.476 | Acc: 50.100
98 Loss: 1.472 | Acc: 50.420
99 Loss: 1.470 | Acc: 50.480
100 Loss: 1.465 | Acc: 50.520
101 Loss: 1.461 | Acc: 50.650
102 Loss: 1.460 | Acc: 50.810
103 Loss: 1.458 | Acc: 50.590
104 Loss: 1.453 | Acc: 50.900
105 Loss: 1.448 | Acc: 51.220
106 Loss: 1.445 | Acc: 51.210
107 Loss: 1.443 | Acc: 51.100
108 Loss: 1.439 | Acc: 51.470
109 Loss: 1.435 | Acc: 51.630
110 Loss: 1.434 | Acc: 51.790
111 Loss: 1.431 | Acc: 51.570
112 Loss: 1.427 | Acc: 52.110
113 Loss: 1.426 | Acc: 52.180
114 Loss: 1.421 | Acc: 51.950
115 Loss: 1.418 | Acc: 52.170
116 Loss: 1.417 | Acc: 52.270
117 Loss: 1.412 | Acc: 52.680
118 Loss: 1.409 | Acc: 52.360
119 Loss: 1.406 | Acc: 52.500
120 Loss: 1.404 | Acc: 52.960
121 Loss: 1.401 | Acc: 52.610
122 Loss: 1.398 | Acc: 52.950
123 Loss: 1.395 | Acc: 53.060
124 Loss: 1.392 | Acc: 53.260
125 Loss: 1.390 | Acc: 53.440
126 Loss: 1.388 | Acc: 53.250
127 Loss: 1.384 | Acc: 53.480
128 Loss: 1.382 | Acc: 53.550
129 Loss: 1.381 | Acc: 53.510
130 Loss: 1.378 | Acc: 53.470
131 Loss: 1.375 | Acc: 53.950
132 Loss: 1.373 | Acc: 53.780
133 Loss: 1.369 | Acc: 54.150
134 Loss: 1.366 | Acc: 53.970
135 Loss: 1.365 | Acc: 54.290
136 Loss: 1.362 | Acc: 54.310
137 Loss: 1.361 | Acc: 54.070
138 Loss: 1.361 | Acc: 54.560
139 Loss: 1.359 | Acc: 53.950
140 Loss: 1.355 | Acc: 54.410
141 Loss: 1.351 | Acc: 54.890
142 Loss: 1.353 | Acc: 54.350
143 Loss: 1.350 | Acc: 54.830
144 Loss: 1.344 | Acc: 54.920
145 Loss: 1.346 | Acc: 54.760
146 Loss: 1.341 | Acc: 55.230
147 Loss: 1.337 | Acc: 55.230
148 Loss: 1.337 | Acc: 54.980
149 Loss: 1.332 | Acc: 55.690
150 Loss: 1.332 | Acc: 55.350
151 Loss: 1.329 | Acc: 55.240
152 Loss: 1.327 | Acc: 55.700
153 Loss: 1.325 | Acc: 55.910
